paper,question_text,question_type,options,correct_answer,module_name
p5_sept,3.45 + 2.78 = ?,multiple_choice,"['A. 5.23', 'B. 6.13', 'C. 6.23', 'D. 7.23']",C. 6.23,小數四則運算
p5_sept,10.5 - 3.78 = ?,multiple_choice,"['A. 6.72', 'B. 7.28', 'C. 6.27', 'D. 7.72']",A. 6.72,小數四則運算
p5_sept,2.5 × 4 = ?,multiple_choice,"['A. 10', 'B. 8.5', 'C. 2.5', 'D. 100']",A. 10,小數四則運算
p5_sept,8.4 ÷ 0.4 = ?,multiple_choice,"['A. 2.1', 'B. 21', 'C. 210', 'D. 0.21']",B. 21,小數四則運算
p5_sept,下列哪個數最大？,multiple_choice,"['A. 3.45', 'B. 3.4', 'C. 3.54', 'D. 3.44']",C. 3.54,小數比較與換算
p5_sept,1.25小時 = ___ 分鐘,multiple_choice,"['A. 60', 'B. 75', 'C. 80', 'D. 125']",B. 75,小數比較與換算
p5_sept,6.5 + 6.7 = ___,fill_in_number,,13.2,小數四則運算
p5_sept,9.35 - 1.8 = ___,fill_in_number,,7.55,小數四則運算
p5_sept,0.45 × 20 = ___,fill_in_number,,9,小數四則運算
p5_sept,3.6 ÷ 0.4 = ___,fill_in_number,,9,小數四則運算
p5_sept,4.1 ___ 4.09（填入 >、< 或 =）,fill_in,,>,小數比較與換算
p5_sept,2.5升 = ___ 毫升,fill_in_number,,2500,小數比較與換算
p5_nov,2/5 + 1/4 = ?,multiple_choice,"['A. 3/9', 'B. 13/20', 'C. 3/20', 'D. 1/5']",B. 13/20,分數四則運算
p5_nov,5/6 - 1/3 = ?,multiple_choice,"['A. 4/3', 'B. 1/2', 'C. 2/3', 'D. 4/9']",B. 1/2,分數四則運算
p5_nov,3/4 ÷ 1/2 = ?,multiple_choice,"['A. 3/8', 'B. 3/2', 'C. 1/2', 'D. 2/3']",B. 3/2,分數四則運算
p5_nov,一輛汽車以時速60公里行駛3.5小時，共行了多少公里？,multiple_choice,"['A. 180公里', 'B. 210公里', 'C. 63.5公里', 'D. 200公里']",B. 210公里,速率計算
p5_nov,三角形的底是8cm，高是5cm，面積是多少？,multiple_choice,"['A. 40cm²', 'B. 20cm²', 'C. 13cm²', 'D. 80cm²']",B. 20cm²,幾何面積
