question_id,severity,category,issue_tag,suggestion,question_text,current_topic,current_unit,options,stored_answer,notes
1dac7d8d-13c7-4372-b8ea-9d2014998c0e,wrong,curriculum_alignment,concept_not_in_unit,Move to Unit 6 乘法（二）lesson 12 倍數關係與乘法綜合應用題,297 + 25 × 9 = ?,加減混合運算與括號的運用,加減混合計算,,522,Lesson 7 per curriculum is strictly add/subtract with brackets; multiplication is not introduced here. Mixed +/- with × belongs to lesson 12.
e97e01b6-35f7-4b0c-a84d-75feb91e5e42,wrong,curriculum_alignment,concept_not_in_unit,Move to Unit 6 乘法（二）lesson 12,148 × 6 − 592 = ?,加減混合運算與括號的運用,加減混合計算,,296,Same — lesson 7 is +/- only.
21060cb5-b697-4382-81f8-38fd748b3613,wrong,curriculum_alignment,concept_not_in_unit,Move to Unit 6 lesson 12,下列哪一個是 50 + 505 × 3 的答案？,加減混合運算與括號的運用,加減混合計算,A. 565 | B. 1565 | C. 1665 | D. 5065,B. 1565,Multiplication mixed with addition belongs to mixed mul-add lesson.
3782ae84-ed2e-404f-9ab1-34f795501c4b,wrong,curriculum_alignment,concept_not_in_unit,Move to Unit 6 lesson 12,985 − 29 × 9 = ?,加減混合運算與括號的運用,加減混合計算,,724,Same.
83c80218-841f-4498-a965-965ea5758ff7,wrong,curriculum_alignment,concept_not_in_unit,Move to Unit 6 lesson 12,711 − 211 × 3 = ?,加減混合運算與括號的運用,加減混合計算,,78,Same.
ce81bd81-be69-48f5-8257-8f1b3024124f,wrong,curriculum_alignment,concept_not_in_unit,Move to Unit 6 lesson 12,(500 - 450) × 3 = ?,加減混合運算與括號的運用,加減混合計算,,150,Lesson 7 should not contain multiplication.
cedb5b19-99ca-49ad-839c-ab9d4b642ab2,wrong,curriculum_alignment,concept_not_in_unit,Move to Unit 6 lesson 12,38 + 26 × 8 = ?,加減混合運算與括號的運用,加減混合計算,,246,Same.
bf6c1d3c-12a4-46b0-b751-ea8e8d1a7f3b,wrong,curriculum_alignment,concept_not_in_unit,Move to Unit 6 lesson 12,30 × 8 + 24 = ?,加減混合運算與括號的運用,加減混合計算,A. 216 | B. 240 | C. 246 | D. 264,D. 264,Same.
5d1c9e19-08b9-4ac8-823e-7ef20e98f82f,wrong,curriculum_alignment,concept_not_in_unit,Move to Unit 6 lesson 12,48 - 8 × 5 = ?,加減混合運算與括號的運用,加減混合計算,A. 200 | B. 40 | C. 8 | D. 48,C. 8,Same.
7067bce3-2bbd-45cf-b9e1-c6f9df5336c2,wrong,curriculum_alignment,concept_not_in_unit,Move to Unit 6 lesson 12,(674 - 451) × 4 = ?,加減混合運算與括號的運用,加減混合計算,,892,Same.
